idx,gold,generation,rouge1_recall,rouge2_recall,rougeL_recall,bert_precision,bert_recall,bert_f1
0,"['cooking oil', 'boneless skinless chicken breasts', 'onion', 'paprika', 'chili powder', 'red pepper', 'pineapple slices in juice', 'tomatoes', 'red kidney beans'] ['heat the oil in a large saute pan', 'add the chicken and onion , and cook together until golden', 'add the spices and red pepper , and cook for 1 minute', 'halve the pineapple slices , add to the pan with the juice , tomatoes and kidney beans', 'cover and simmer 20-25 minutes until the chicken is tender', 'serve with rice or mashed potatoes']","Ingredients: boneless skinless chicken breast halves, pineapple, salt, pepper, olive oil, garlic cloves",0.0987654320987654,0.0375,0.074074074074074,0.2983802258968353,-0.24358238279819489,0.01419146079570055
1,"['salmon fillets', 'extra virgin olive oil', 'kosher salt', 'fresh ground black pepper', 'mayonnaise', 'sour cream', 'fresh parsley leaves', 'dijon-style mustard', 'fresh dill weed', 'fresh lemon juice', 'salt & freshly ground black pepper'] ['preheat oven to 350 degrees f', 'line the bottom of an ungreased baking pan with aluminum foil', 'wash salmon and pat dry', 'rub with olive oil , sprinkle with coarse salt and pepper , and place skin-side down onto rack', 'in a small bowl mix together mayonnaise , sour cream , parsley , dijon mustard , dill weed , lemon juice , salt , and pepper', 'cover bowl with plastic wrap and refrigerate for at least 3 hours before serving', 'bake salmon , uncovered , 12 to 15 minutes or until a meat thermometer registers an internal temperature of 140 to 145 degrees f', 'carefully remove salmon from pan and transfer onto individual serving plates', 'serve with the cold mustard dill sauce']","Ingredients: salmon fillets, olive oil, garlic cloves, dill weed, salt, fresh ground black pepper, kosher salt, fresh ground black pepper",0.1180555555555555,0.0699300699300699,0.0902777777777777,0.3512398600578308,-0.30016908049583435,0.005750536452978849
2,"['skinless chicken breasts', 'plum tomatoes', 'olive oil', 'chickpeas', 'parmesan cheese', 'garlic', 'onion', 'red wine', 'balsamic vinegar', 'basil', 'celery', 'red pepper', 'mushrooms', 'tomato sauce', 'salt and pepper'] ['saute the minced garlic in the olive oil until golden brown', 'pour off olive oil into a bowl and reserve for later use', 'in the same pan , saute the seasoned breasts over medium heat on both sides until done', 'remove garlic and breasts from pan and reserve for later use', 'add half the olive oil back and slowly saute the plum tomatoes until tender by gently rolling , remove and put aside with chicken and garlic', 'now , in order , saute the onions , celery , chickpeas , pepper and mushrooms , add the wine and 1 tbsp of balsamic vinegar and reduce until almost dry', 'finish by adding tomato sauce , top with parmesan cheese and season to taste with salt and pepper']","Ingredients: boneless skinless chicken breast halves, olive oil, garlic cloves, chickpeas, salt, fresh ground black pepper, fresh parsley",0.0629370629370629,0.0211267605633802,0.0629370629370629,0.1804495006799698,-0.32712429761886597,-0.08483409881591797
3,"['chickpeas', 'plum tomatoes', 'onion', 'garlic cloves', 'olive oil', 'dry red wine', 'tomato paste', 'fresh mushrooms', 'zucchini', 'fresh parsley', 'fresh basil', 'fresh oregano', 'carrot', 'salt', 'black pepper', 'dried hot red chilies'] ['in large pot saute the onion in olive oil until translucent then add garlic', 'run the chickpeas and tomatoes through a blender or food processor until they are finely chopped , but not smooth', 'add all the ingredients to the pot , and simmer uncovered for 45 minutes , stirring occasionally', ""when i don't have fresh i exchange 1 / 4 cup fresh basil= 4 tsp dried"", '1 / 4 cup fresh oregano = 1 tablespoon dried', '1 / 2 cup parsley = 2tsp dried']","Ingredients: olive oil, onion, garlic cloves, celery, garlic cloves, salt, fresh ground black pepper",0.1018518518518518,0.0373831775700934,0.0555555555555555,0.22884802520275116,-0.3212262988090515,-0.05995171517133713
4,"['cooked brown rice', 'cooked lentils', 'instant oats', 'mushroom', 'yellow onion', 'carrot', 'red bell pepper', 'walnuts', 'tomato paste', 'olive', 'fresh parsley', 'braggs liquid aminos', 'mustard', 'dried thyme', 'dried marjoram', 'dried sage'] ['preheat oven to 350 degrees fahrenheit', 'in a large mixing bowl , combine the rice , lentils , oats , mushrooms , onion , carrot , pepper , walnuts , tomato paste , olives , parsley , soy sauce , mustard , thyme , marjoram , and sage', 'mix well', 'lightly oil an 8"" x 4"" loaf pan', 'fill the loaf pan with the mixture and pack well to press out any air pockets', 'bake for 40 minutes , covered', 'uncover and bake for another 20 minutes , until lightly browned', 'allow to stand at room temperature for 15 minutes before slicing', 'use a serrated knife to carefully slice', 'update 3 / 7 / 09: i have discovered that this holds together better if you mash half the lentils', 'it also helps to add some flax meal and extra liquid']","Ingredients: olive oil, onion, garlic cloves, garlic cloves, dried oregano, dried oregano, dried oregano, dried oregano",0.04,0.0,0.0266666666666666,-0.13903644680976868,-0.46156537532806396,-0.30379945039749146
5,"['sweet potato', 'olive oil', 'seasoning'] ['you will need two pieces of foil measuring 28cm x 30cm and a disposable foil baking tray', 'preheat a covered barbecue on medium high heat with hood down and place 1 piece of foil on top of the other', ""scrub sweet potato and pat dry with paper towel and then using a shap knife make 3 cuts into the sweet potatoe but don't cut right through and the place the sweet potato on prepared foil"", 'combine oil and seasoning in a bowl and drizzle oil mix over the sweet potato , rubbing into the slits and then wrap rightly in the foil and place in the foil baking tray', 'barbecue with hood down using indirect heat for 1 hour turning occasionally or until tender', 'remove from barbecue and cool for 5 minutes and then remove foil and cut into thick slices and serve']","Ingredients: sweet potato, olive oil, onion, garlic cloves, salt, pepper, olive oil",0.0337837837837837,0.0204081632653061,0.0337837837837837,0.08011177182197571,-0.36126893758773804,-0.1488793045282364
6,"['red bell peppers', 'olive oil', 'lemon juice', 'capers', 'garlic cloves'] ['preheat broiler', 'spread aluminum foil over the bottom of a broiling pan', 'place peppers on foil and broil until skin becomes blistered and charred , turning to char all sides , about 15 minutes', 'remove peppers from oven', 'lift corners of foil and fold them together to seal in the peppers', 'cover with a dish towel and let stand 30 minutes', 'unwrap foil carefully', 'remove and discard stems , seeds , and charred skin , but save all the liquid', 'put the saved liquid in a mixing bowl', 'cut peppers into 1 / 2"" strips and place in bowl', 'add remaining ingredients and refrigerate several hours or overnight', 'remove garlic before serving', 'serve this with tomatoes as an appetizer , in sandwiches , or as a side dish with meat , chicken or fish']","Ingredients: red peppers, olive oil, onion, garlic cloves, salt, pepper",0.0592592592592592,0.0223880597014925,0.0518518518518518,0.2077571451663971,-0.4169561266899109,-0.12298759818077087
7,"['olive oil', 'garlic', 'leeks', 'mint', 'orange rind', 'salt & freshly ground black pepper', 'goat cheese', 'frozen puff pastry', 'asparagus', 'egg'] ['preheat oven to 400f', 'heat olive oil in skillet on medium-high heat', 'add garlic and leeks and saut until crisp-tender , about 2 minutes', 'stir in mint and orange rind , season with salt and pepper and cool', 'combine leek mixture with goat cheese', 'lay pastry on a floured surface and roll out to a 10 x 14-inch rectangle', 'place on a parchment-lined baking sheet', 'divide cheese mixture in half', 'pile half of mixture along upper third of pastry lengthwise , leaving a 1-inch wide border on short sides and top', 'lay asparagus spears evenly over top of filling', 'cover with remaining cheese mixture', 'brush all inside edges of pastry with beaten egg', 'fold pastry over filling and tuck ends under', 'slash top of strudel on the diagonal every 2-inches', 'brush with egg', 'bake for 20 to 25 minutes or until golden brown']","Ingredients: asparagus, olive oil, onion, garlic cloves, salt, fresh ground black pepper",0.0484848484848484,0.0182926829268292,0.0424242424242424,0.290158748626709,-0.4579354524612427,-0.11094194650650024
8,"['cooking spray', 'onion', 'garlic cloves', 'brown rice', 'dry white wine', 'boneless skinless chicken thighs', 'fresh thyme', 'salt', 'reduced-sodium fat-free chicken broth', 'whipping cream', 'parmesan cheese'] ['preheat oven to 450', 'heat a large nonstick skillet over medium-high heat', 'coat pan with cooking spray', 'add onion to pan', 'saut 2 minutes', 'add garlic', 'saut 30 seconds', 'remove rice from bags', 'add to pan', 'saut 30 seconds', 'stir in wine', 'cook 30 seconds or until liquid almost evaporates', 'spoon rice mixture in an even layer into a 13 x 9inch baking dish coated with cooking spray', 'arrange chicken thighs in a single layer over rice mixture', 'sprinkle evenly with thyme and salt', 'combine broth and cream , stirring well', 'pour over chicken and rice mixture', 'bake at 450 for 15 minutes', 'sprinkle with cheese', 'bake an additional 5 minutes or until chicken and rice done']","Ingredients: boneless skinless chicken breast halves, parmesan cheese, parmesan cheese, parmesan cheese, parmesan cheese",0.0416666666666666,0.0209790209790209,0.0416666666666666,-0.03150028735399246,-0.5308405160903931,-0.2924756705760956
9,"['eggplants', 'salt and pepper', 'tomato paste', 'garlic', 'olive oil', 'long-grain rice', 'salt & freshly ground black pepper', 'onion', 'lean ground beef', 'parsley', 'ground cumin', 'turmeric', 'slivered almonds'] ['cut the stem ends from the eggplants', 'halve the eggplants lengthwise', 'peel if desired', 'if the eggplant is fresh , there is no need to peel it', 'use a spoon to scoop out the centers , leaving boat-shaped shells', 'keep the flesh you scooped out to add to the stuffing', 'sprinkle the shells with salt', 'put them in a colander upside down and leave to drain for 1 / 2 hour', 'preheat oven to 425 degrees c', 'prepare the stuffing: add the rice to 3 cups boiling salted water and boil for 10 minutes until not quite tender', 'rinse under cold running water and drain well', 'heat 1 tablespoon of the oil in a frying pan , add the onion and cook over low heat until soft but not brown', 'leave to cool', 'mix with the beef , parsley , cumin , turmeric and almonds', 'chop the flesh removed from the eggplant', 'heat 2 tablespoons oil , add the chopped eggplant and sprinkle with salt', 'saute over medium-low heat , stirring often , until tender , about 10 minutes', 'leave to cool and mix with the stuffing', 'taste for seasoning', 'if you prefer not to taste a mixture that contains raw beef , broil or microwave a teaspoon of the mixture and taste it for seasoning', 'rinse the eggplant shells , pat them dry and put them in a baking dish', 'fill them with the stuffing', 'mix the tomato paste with 1 / 4 cup water and spoon the mixture over the eggplant', 'add enough water to the dish to cover the eggplant by one third', 'add the garlic to the dish', 'spoon 1 tablespoon oil over the eggplant', 'cover and bake 15 minutes', 'reduce the heat to 350 f and continue baking , covered , 15 more minutes', 'uncover and bake , basting occasionally , 30 minutes or until the eggplant is very tender']","Ingredients: eggplant, olive oil, onion, garlic cloves, salt, ground black pepper, ground cumin, ground coriander",0.0368098159509202,0.0123076923076923,0.0276073619631901,0.20223583281040192,-0.5107974410057068,-0.17896941304206848
