model,category,dish,generation,dataset
baseline,both_violations,Marinated Flank Steak Recipe,"Preheat the oven to 375°F (190°C) and line a baking sheet with parchment paper. In a large bowl, whisk together the flour, baking powder, salt, and pepper in a large mixing bowl. Add the sour cream, milk, and salt to the dry ingredients and mix well. Pour the wet ingredients into the dry ingredients and mix well. Pour the wet ingredients into the dry ingredients and mix well. Pour the wet ingredients into the dry ingredients and mix well. Pour the wet ingredients into the dry ingredients and mix well. Pour the wet ingredients into the dry ingredients and mix well. Pour the wet ingredients into the dry ingredients and mix well. Pour the wet ingredients into the dry ingredients and mix well. Pour the wet ingredients into the dry ingredients and mix well. Pour the wet ingredients into the dry ingredients and mix well.",recipenlg
baseline,both_violations,Glazed Carrots,"Preheat the oven to 350°F (180°C) and line a baking sheet with parchment paper. In a large bowl, whisk together the flour, baking powder, salt, and baking soda. Add the carrots to the flour mixture and stir to combine. Add the carrots to the baking sheet and bake at 350°F (180°C) for 20 minutes or until the carrots are tender. Remove from the oven and let cool.",recipenlg
baseline,both_violations,Moms Pie Dough ,"Preheat the oven to 350°F (180°C) and line a baking sheet with parchment paper. In a large mixing bowl, combine the flour, baking powder, salt, and baking soda. Add the egg and mix well. Add the milk and mix well. Add the flour mixture to the egg mixture and mix well. Add the milk mixture to the egg mixture and mix well. Add the flour mixture to the egg mixture and mix well. Add the milk mixture to the egg mixture and mix well. Add the flour mixture to the egg mixture and mix well. Add the milk mixture to the egg mixture and mix well. Add the milk mixture to the egg mixture and mix well. Add the flour mixture to the egg mixture and mix well. Add the milk mixture to the egg mixture and mix well. Add the milk mixture to the egg mixture and mix well. Add the milk mixture to the egg mixture and mix well. Add the milk mixture to the egg mixture and mix well. Add the milk mixture to the egg mixture and mix well. Add the milk mixture to the egg mixture and mix well. Add the milk mixture to the egg mixture and mix well. Add the milk mixture to the egg mixture and mix well. Add the milk mixture to the egg",recipenlg
baseline,unknown,French Chicken Stew,"Preheat the oven to 350°F (180°C) and line a baking sheet with parchment paper. In a large bowl, whisk together the flour, baking powder, salt, and pepper. Add the chicken broth to the chicken broth and whisk to combine. Add the chicken to the broth and whisk to combine. Add the chicken to the broth and whisk to combine. Bring to a full boil, then reduce the heat to low and simmer until the chicken is cooked through. Remove from the heat and stir in the parsley and parsley. Cook, stirring occasionally, until the parsley is wilted. Remove from the heat and stir in the parsley, parsley, and parsley. Cook, stirring occasionally, until the parsley is wilted. Remove from the heat and stir in the parsley, parsley, and parsley. Cook, stirring occasionally, until the parsley is wilted. Remove from the heat and stir in the parsley, parsley, and parsley. Cook, stirring occasionally, until the parsley is wilted. Remove from the heat and stir in the parsley, parsley, and parsley. Cook, stirring occasionally, until the parsley is ",recipenlg
baseline,unknown,Broccoli Casserole,"Preheat the oven to 350°F (180°C) and line a baking sheet with parchment paper. In a large bowl, whisk together the flour, baking powder, salt, and pepper in a large mixing bowl. Stir in the onion, celery, and garlic. Cook until tender, about 5 minutes. Stir in the milk and bring to a full boil. Reduce the heat to low and simmer until the vegetables are tender, about 5 minutes. Stir in the parsley and cook until tender, about 5 minutes. Stir in the parsley and cook until tender, about 5 minutes. Stir in the parsley and cook until tender, about 5 minutes. Stir in the parsley and cook until tender, about 5 minutes. Stir in the parsley and cook until tender, about 5 minutes. Stir in the parsley and cook until tender, about 5 minutes. Stir in the parsley and cook until tender, about 5 minutes. Stir in the parsley and cook until tender, about 5 minutes. Stir in the parsley and cook until tender, about 5 minutes. Stir in the parsley and cook until tender, about 5 minutes. Stir in the parsley and cook until tender, about 5 minutes. Stir in the parsley and",recipenlg
baseline,unknown,Barbecued Beef Brisket Recipe,Barbecued Beef Brisket Recipe,recipenlg
baseline,missing_required,Pretzel Salad Or Dessert,"Preheat the oven to 350°F (180°C) and line a baking sheet with parchment paper. In a large mixing bowl, combine the flour, baking powder, salt, and baking soda in a large mixing bowl. Stir in the melted butter and mix in the melted cheese. Pour the mixture into the prepared baking sheet and bake at 350°F (180°C) for 20 minutes or until the cheese is melted and bubbly. Serve warm.",recipenlg
baseline,missing_required,Dill Dip,Dill Dip is a diabetic-friendly dip made with dill.,recipenlg
baseline,missing_required,Caramel Snappers,"Preheat the oven to 350°F (180°C). Grease and flour a 9x9x2-inch baking dish. Set aside. In a large bowl, whisk together the sugar, baking powder, and salt. Add the melted butter and mix well. Pour the mixture into the prepared baking dish. Bake at 350°F (180°C) for 20 minutes or until golden brown. Remove from the oven and let cool before serving.",recipenlg
baseline,has_forbidden,"Crab, Grapefruit And Watercress Salad","Crab, Grapefruit And Watercress Salad Recipe",recipenlg
baseline,has_forbidden,Portzelky (New Year'S Cookies),"Preheat the oven to 350°F (180°C) and line a baking sheet with parchment paper. In a large mixing bowl, combine the flour, baking powder, salt, baking soda, and baking powder in a large mixing bowl. Add the wet ingredients to the dry ingredients and mix well. Add the wet ingredients to the dry ingredients and mix well. Add the wet ingredients to the dry ingredients and mix well. Add the wet ingredients to the dry ingredients and mix well. Add the wet ingredients to the dry ingredients and mix well. Add the wet ingredients to the dry ingredients and mix well. Add the wet ingredients to the dry ingredients and mix well. Add the wet ingredients to the dry ingredients and mix well. Add the wet ingredients to the dry ingredients and mix well. Add the wet ingredients to the dry ingredients and mix well. Add the wet ingredients to the dry ingredients and mix well. Add the wet ingredients to the dry ingredients and mix well.",recipenlg
baseline,has_forbidden,Pine Nut Cookie Cups,"Preheat the oven to 350°F (180°C) and line a baking sheet with parchment paper. Grease and flour a 9x9x2-inch baking pan. Set aside. In a large bowl, whisk together the flour, baking powder, baking soda, and salt in a large mixing bowl. Stir in the melted butter and beat until well combined. Add the melted butter and beat until well combined. Add the melted butter and beat until well combined. Add the melted butter and beat until well combined. Add the melted butter and beat until well combined. Add the melted butter and beat until well combined. Add the melted butter and beat until well combined. Add the melted butter and beat until well combined. Add the melted butter and beat until well combined. Add the melted butter and beat until well combined. Add the melted butter and beat until well combined. Add the melted butter and beat until well combined. Add the melted butter and beat until well combined. Add the melted butter and beat until well combined. Add the melted butter and beat until well combined. Add the melted butter and beat until well combined. Add the melted butter and beat until well combined. Add",recipenlg
