name,ingredients,directions,original_safety,has_forbidden,has_required,prompt,generation,compliant,has_forbidden.1,has_required.1,rouge1,rouge2,rougeL,bertscore_precision,bertscore_recall,bertscore_f1,dataset,failure_category,recipe_length,dish_type,dish
Bacon Quiche Biscuit Cups,"[""1 (8 oz.) cream cheese, softened"", ""2 Tbsp. milk"", ""2 eggs"", ""1/2 c. shredded Swiss cheese"", ""2 Tbsp. chopped green onion"", ""1 (10 oz.) can refrigerator flaky biscuits"", ""5 slices bacon, crisply cooked and finely crumbled""]","[""In small bowl, beat cream cheese, milk and eggs on low speed until smooth."", ""Stir in Swiss cheese and onions; set aside.""]",0.0,1,0,Generate a diabetes-friendly Bacon Quiche Biscuit Cups recipe.,"Ingredients: ['olive oil', 'onion', 'garlic cloves', 'salt', 'fresh ground black pepper', 'bacon', 'butter'] Instructions: heat oil in a large nonstick skillet over medium-high heat add onion , garlic , salt and pepper and cook , stirring occasionally , until onion is softened add bacon and cook , stirring occasionally , until bacon is cooked through",0,1.0,1.0,0.201834862385321,0.0,0.110091743119266,0.8253137,0.8100221,0.81759644,recipenlg,both_violations,medium,other,
Eggplant And Pepper Parmesan Sandwiches,"[""1 eggplant, seeded and cut lengthwise into 1/4 inch slices"", ""1 red bell pepper, sliced into thin strips"", ""salt and pepper to taste"", ""1 French baguette"", ""2 ounces soft goat cheese"", ""1/4 cup tapenade (olive spread)"", ""1/4 cup grated Parmesan cheese""]","[""Preheat the oven broiler."", ""Place the eggplant and red bell pepper on a medium baking sheet, and season with salt and pepper. Broil 5 to 10 minutes, until tender and slightly browned."", ""Cut baguette in half lengthwise. Spread bottom half with goat cheese, followed by tapenade. Layer with eggplant and red pepper, then sprinkle with Parmesan cheese. Cover with top half of baguette. Cut into 4 pieces. Serve hot or cold.""]",0.0,1,0,Generate a diabetes-friendly Eggplant And Pepper Parmesan Sandwiches recipe.,"Ingredients: ['eggplant', 'parmesan cheese', 'parmesan cheese', 'parmesan cheese', 'parmesan cheese', 'parmesan cheese', 'parmesan cheese'] Instructions: preheat oven to 350 degrees f in a large bowl , combine the eggplant , parmesan cheese , parmesan cheese , parmesan cheese , parmesan cheese , parmesan cheese , parmesan cheese , parmesan cheese , parmesan cheese , parmesan cheese , parmesan cheese , parmesan cheese , parmesan cheese , parmesan cheese , parmesan cheese , parmesan cheese , parmesan cheese , parmesan cheese , parmesan cheese , parmesan cheese , parmesan cheese , parmesan cheese , parmesan cheese , parmesan cheese , parmesan cheese , parmesan cheese , parmesan cheese , parmesan cheese , parmesan cheese , parmesan cheese ",0,0.0,0.0,0.1393034825870646,0.0301507537688442,0.1094527363184079,0.784019,0.7869916,0.7855025,recipenlg,both_violations,long,other,
Sausage Cheese Grits Casserole,"[""4 c. water"", ""1/2 tsp. salt"", ""1 c. Jim Dandy quick grits"", ""1 1/2 c. (6 oz.) grated sharp Cheddar cheese, divided"", ""1/4 c. (1/2 stick) butter"", ""4 eggs, lightly beaten"", ""1/2 c. milk"", ""1 lb. sausage, browned and drained""]","[""Preheat oven to 350\u00b0."", ""Grease a 3-quart baking dish. Bring water and salt to a boil in a large saucepan."", ""Slowly pour in grits."", ""Cover, reduce heat and cook for 5 minutes, stirring occasionally."", ""Remove from heat. Stir in 1 cup cheese and butter until melted."", ""Add eggs, milk and sausage; blend well."", ""Pour mixture into prepared dish."", ""Sprinkle with remaining cheese."", ""Bake 1 hour or until cheese is golden brown. Cool for 10 minutes before serving."", ""Makes 6 to 8 servings.""]",0.0,1,0,Generate a diabetes-friendly Sausage Cheese Grits Casserole recipe.,"Ingredients: ['olive oil', 'onion', 'garlic cloves', 'garlic cloves', 'salt', 'pepper', 'sausage', 'parmesan cheese', 'parmesan cheese'] Instructions: heat oil in a large skillet over medium-high heat add onion , garlic , and garlic cook , stirring occasionally , until onion is softened , about 5 minutes",0,1.0,1.0,0.2117647058823529,0.0476190476190476,0.1529411764705882,0.8306088,0.7892647,0.8094091,recipenlg,both_violations,short,other,
Gingerbread Cheesecake with Orange Sauce,"[""Gingerbread Cheesecake"", ""1-3/4 qt. gingersnaps, finely crushed"", ""1-3/4 cups unsalted butter, melted"", ""4 tubs PHILADELPHIA Cheesecake Batter, slacked for 1 hour"", ""2-2/3 Tbsp. ground ginger"", ""1 tsp. ground cloves"", ""2-2/3 Tbsp. ground cinnamon"", ""Orange Sauce"", ""1 qt. water, divided"", ""2 Tbsp. cornstarch"", ""1-1/2 cups frozen orange juice concentrate, thawed"", ""2 cups sugar"", ""2 Tbsp. unsalted butter"", ""4 each vanilla beans, scraped"", ""2 qt. navel oranges, cut into supremes King Sooper's 1 lb For $0.99 thru 02/09""]","[""Gingerbread Cheesecake: Combine cookie crumbs and butter; press onto bottoms of 4 (9-inch) springform pans (or onto bottom of 1 springform pan for trial recipe)."", ""Bake in 325 degrees F standard oven 10 min."", ""; cool."", ""Add 2 tsp."", ""each cinnamon and ginger, and 1/4 tsp."", ""cloves to cheesecake batter in each tub; mix well."", ""Pour 1 tub batter over each crust."", ""Bake as directed on cheesecake tub; cool completely."", ""Refrigerate several hours or until chilled."", ""Cut each cheesecake into 12 slices."", ""Orange Sauce for each Cheesecake: Mix 1/4 cup (2 oz.)"", ""water and cornstarch."", ""Add 7 oz."", ""water, 6 Tbsp."", ""orange juice concentrate, 1/2 cup sugar, 1-1/2 tsp."", ""butter and seeds from 1 vanilla bean to small saucepan; bring just to boil on medium heat."", ""Reduce heat to medium-low."", ""Add cornstarch slurry; whisk 1 min."", ""Remove from heat."", ""Stir in oranges; cool.."", ""For each serving: Top 1 Cheesecake slice with 1/4 cup Orange Sauce.""]",0.0,1,0,Generate a diabetes-friendly Gingerbread Cheesecake with Orange Sauce recipe.,"Ingredients: ['orange juice', 'garlic cloves', 'orange zest', 'orange zest', 'fresh ground black pepper', 'salt', 'fresh ground black pepper', 'fresh ginger', 'orange zest', 'fresh ground black pepper', 'orange zest', 'fresh ground pepper'] Instructions: combine the orange juice , garlic , orange zest , orange zest , pepper , salt , pepper , and pepper in a large bowl combine the ginger , zest , pepper , and pepper in a small bowl",0,0.0,0.0,0.1346153846153846,0.0129032258064516,0.0833333333333333,0.79670906,0.7398568,0.76723117,recipenlg,both_violations,medium,dessert,
Yummy Maple Bacon Cupcakes,"[""1 1/2 cups white sugar"", ""1/2 cup butter, softened"", ""2 eggs"", ""2 teaspoons vanilla extract"", ""2 cups all-purpose flour"", ""2 teaspoons ground cinnamon"", ""1/2 teaspoon baking powder"", ""1/2 teaspoon baking soda"", ""1/4 teaspoon salt"", ""1/4 teaspoon ground nutmeg"", ""1 1/3 cups buttermilk"", ""Maple Buttercream Frosting:"", ""1/2 cup butter, softened"", ""1/4 cup shortening"", ""1/2 cup maple syrup"", ""1 pinch salt"", ""2 1/2 cups confectioners' sugar"", ""6 strips cooked bacon, crumbled"", ""1 teaspoon raw sugar, or as desired""]","[""Preheat the oven to 350 degrees F (175 degrees C). Fill 48 mini muffin cups with paper liners."", ""Beat sugar and butter together in a large bowl using an electric mixer until fluffy. Add eggs one at a time, beating well after each addition. Beat in vanilla extract."", ""Combine flour, cinnamon, baking powder, baking soda, salt, and nutmeg in a medium bowl. Add to the sugar mixture, 1/2 cup at a time, alternating with buttermilk. Mix well after each addition. Fill muffin cups 2/3 full of batter."", ""Bake in the preheated oven until a toothpick inserted into the center of a cupcake comes out clean, 18 to 21 minutes. Cool completely on a wire rack before frosting, at least 20 minutes."", ""Beat butter and shortening together until fluffy to start the frosting. Beat in maple syrup and salt. Add confectioners' sugar; beat until smooth. Frost the cooled cupcakes and sprinkle bacon crumbles and raw sugar on top.""]",0.0,1,0,Generate a diabetes-friendly Yummy Maple Bacon Cupcakes recipe.,"Ingredients: ['olive oil', 'onion', 'garlic cloves', 'dried thyme', 'salt', 'fresh ground black pepper', 'bacon', 'milk', 'salt', 'fresh ground black pepper'] Instructions: heat oil in a large skillet over medium-high heat add onion , garlic , thyme , salt , pepper , and pepper saute until softened , about 5 minutes",0,1.0,1.0,0.1027397260273972,0.0137931034482758,0.0753424657534246,0.82079005,0.76505303,0.79194206,recipenlg,both_violations,medium,dessert,
Oreo Cupcakes,"[""2 1/3 cups all-purpose flour"", ""1 cup unsweetened cocoa powder, sifted"", ""1 1/2 teaspoons baking powder"", ""1/2 teaspoon baking soda"", ""1/2 teaspoon salt"", ""12 tablespoons unsalted butter, at room temperature"", ""2 cups light brown sugar, firmly packed"", ""2 teaspoons vanilla extract"", ""4 eggs"", ""1 1/2 cups buttermilk, at room temperature"", ""1 3/4 cups whipping cream"", ""2 tablespoons whipping cream"", ""3 tablespoons powdered sugar"", ""1/2 teaspoon vanilla extract"", ""6 tablespoons Oreo cookie crumbs"", ""12 chocolate sandwich style cookies, halved (like Oreos)""]","[""To make the cupcakes, preheat the oven to 350 degrees F. Line two cupcake pans with paper liners."", ""In a medium bowl, sift together the flour, cocoa powder, baking powder, baking soda and salt; set aside. In the bowl of an electric mixer, beat the butter on medium speed until smooth. Gradually add the brown sugar and continue beating until fluffy, scraping down the sides of the bowl as needed. Beat in the vanilla. Add the eggs one at a time, beating well after each addition."", ""With the mixer on low speed, add the flour mixture in three additions, alternating with the buttermilk, beginning and ending with the flour mixture. Mix just until all the dry ingredients have been incorporated, being careful not to overmix."", ""Divide the batter between the prepared cupcake liners. Bake until a toothpick inserted in the center comes out clean, about 18-20 minutes. Transfer the cupcakes to a wire rack and let cool to room temperature."", ""To prepare the frosting, in the clean bowl of an electric mixer fitted with the whisk attachment, combine the whipping cream, powdered sugar, and vanilla extract. Beat on medium-high speed until the whipped cream holds stiff peaks. Gently fold in the cookie crumbs with a spatula."", ""Scoop the mixture into a pastry bag and pipe frosting decoratively on top of the cupcakes. Garnish with Oreo cookie halves.""]",0.0,1,0,Generate a diabetes-friendly Oreo Cupcakes recipe.,"Ingredients: ['olive oil', 'onion', 'garlic cloves', 'dried thyme', 'salt', 'pepper', 'dried oreos', 'parmesan cheese'] Instructions: heat the oil in a large skillet over medium heat add the onion , garlic , thyme , salt , pepper , oreos , parmesan cheese , parmesan cheese , parmesan cheese , parmesan cheese , parmesan cheese , parmesan cheese , parmesan cheese , parmesan cheese , parmesan cheese , parmesan cheese , parmesan cheese , parmesan cheese , parmesan cheese , parmesan cheese , parmesan cheese , parmesan cheese , parmesan cheese , parmesan cheese , parmesan cheese , parmesan cheese , parmesan cheese , parmesan cheese , parmesan cheese , parmesan cheese , parmesan cheese , par",0,1.0,1.0,0.054862842892768,0.0100250626566416,0.0448877805486284,0.7462414,0.7589633,0.7525486,recipenlg,both_violations,long,dessert,
Vegetable Orange Stir Fry,"[""carrots 2 med."", ""2 cups green beans"", ""2 cups cauliflower sliced"", ""4 teaspoons cornstarch"", ""1 cup soy sauce"", ""1 cup orange juice"", ""2 teaspoons sugar"", ""2 tablespoons cooking oil"", ""1 cup fresh mushrooms sliced"", ""1 1/4 cups peanuts 5 oz.""]","[""Cut carrots into julienne strips. Bias-slice green beans into 1 inch lengths. In saucepan, cook carrots and beans, uncovered, in boiling salted water for 3 minutes. Add cauliflower; cook, covered 2 minutes more. Drain well. In bowl, stir 1/2 cup cold water into the cornstarch; stir in soy sauce, orange juice, sugar and 1/4 teaspoon pepper. Set aside."", ""Heat wok over high heat; add oil. Stir-fry carrots, beans, cauliflower and mushrooms 2 minutes or until crisp-tender. Add peanuts; stir-fry 30 seconds more. Stir soy mixture; stir into wok. Cook and stir until thickened and bubbly; cook and stir 2 minutes more. Serve over rice; top with sesame seed. Makes 4 servings.""]",0.0,1,1,Generate a diabetes-friendly Vegetable Orange Stir Fry recipe.,"Ingredients: ['vegetable oil', 'onion', 'garlic cloves', 'orange juice', 'salt', 'pepper', 'vegetable stock', 'water'] Instructions: heat oil in a large skillet over medium-high heat add onion , garlic , orange juice , salt , pepper , and pepper saute until onion is tender",0,0.0,0.0,0.1836734693877551,0.0412371134020618,0.1224489795918367,0.8502152,0.7935487,0.82090515,recipenlg,has_forbidden,short,fried,
Easy Green Beans With Bacon,"[""1 (14 1/2 ounce) can green beans"", ""1 slice bacon"", ""salt, to taste""]","[""Fry the bacon in the pan in which you will cook the beans."", ""Do not pour off bacon fat."", ""Dump one can of green beans including juice into the bacon& grease (first drops will sizzle.) Salt to taste- (the saltiness of the bacon will affect how much is needed.) Boil on a fairly hot temperature with lid off just until juice evaporates."", ""Serve."", ""This recipe can be doubled or tripled to serve more people.""]",0.0,1,1,Generate a diabetes-friendly Easy Green Beans With Bacon recipe.,"Ingredients: ['green beans', 'olive oil', 'onion', 'garlic cloves', 'salt', 'fresh ground black pepper', 'bacon', 'parmesan cheese'] Instructions: heat the oil in a large skillet over medium-high heat add the onion , garlic , salt , pepper , and pepper cook , stirring occasionally , until softened , about 5 minutes",0,1.0,1.0,0.1666666666666666,0.0153846153846153,0.1363636363636363,0.82325584,0.80124116,0.8120994,recipenlg,has_forbidden,medium,other,
Open-Face Bacon-and-Egg Sandwiches with Arugula,"['5 bacon slices, halved crosswise', '1 (4-inch) square ciabatta or focaccia bread, halved horizontally', '3 tablespoons olive oil, divided', '4 large thin tomato slices', '1 small shallot, chopped', '1/2 tablespoon white wine vinegar', '1 cup (packed) arugula', '2 large eggs', 'Parmesan cheese shavings']","Cook bacon in heavy large skillet over medium-high heat until brown and crisp; transfer to paper towels to drain.
Wipe out skillet. Brush cut sides of bread with 1 tablespoon oil. Place bread, cut sides down, in skillet. Cook over medium heat until golden, about 3 minutes. Place 1 bread square, golden side up, on each of 2 plates. Top each with half of bacon, then 2 tomato slices.
Whisk 1 tablespoon oil, shallot, and vinegar in medium bowl to blend. Season dressing with salt and pepper. Add arugula and toss to coat.
Heat remaining 1 tablespoon oil in same skillet over medium heat. Crack eggs into skillet. Sprinkle with salt and pepper. Cook until whites are set and yolks are cooked as desired. Top each bread stack with egg, then arugula and cheese.",0.0,1,1,Generate a diabetes-friendly Open-Face Bacon-and-Egg Sandwiches with Arugula recipe.,"Ingredients: ['olive oil', 'onion', 'garlic cloves', 'fresh thyme', 'salt', 'fresh ground black pepper', 'bacon', 'arugula'] Instructions: heat oil in a large skillet over medium-high heat add onion , garlic , thyme , salt , and pepper cook , stirring occasionally , until softened , about 5 minutes",0,1.0,1.0,0.2171945701357466,0.091324200913242,0.1538461538461538,0.85058546,0.8041995,0.8267424,kaggle,has_forbidden,short,other,
Maple Bacon Twists,"['1/3 cup warm water (110°F)', '1/4 cup sugar, divided', '1 1/8 teaspoon yeast (1/2 packet)', '1 large egg', '3 tablespoons buttermilk', '1 3/4 cups flour', '1/4 teaspoon ground cinnamon', '1/4 teaspoon freshly grated nutmeg', '1/8 teaspoon salt', '12 slices thick-cut, maple-flavored bacon, par-cooked (see note)', 'Peanut or canola oil, for frying', 'Maple Glaze']","In the bowl of a stand mixer, combine the water, 1 tablespoon of sugar, and yeast. Let the mixture sit for 10 minutes to activate the yeast. Whisk in the remaining sugar, egg, and buttermilk. Add the flour, cinnamon, nutmeg, and salt. Knead the dough with the dough hook attachment until well combined, about 3 minutes. The dough will be very sticky.
Transfer the dough to a large bowl coated lightly with cooking spray. Cover, and leave in a warm, draft-free place to rise until doubled in size, 1 1/2-2 hours.
Transfer the dough to a floured surface and pat or roll it into a 1-inch thick rectangle, approximately 8x12 inches. Cut the dough into 12 (1x8 inch) rectangular pieces with a pizza cutter or sharp knife.
Lay a slice of bacon on top of each piece of dough and twist 2-3 times to form a spiral, pinching the ends to adhere dough and bacon. Repeat with the remaining bacon and dough pieces. Cover and let rest for 30 minutes.
Preheat oil in a deep fryer or large pot to 350°F.
Deep fry the doughnuts, a few at a time, until the dough is fully cooked and the bacon is crisp, about 3 minutes. Transfer to a sheet pan lined with paper towels.
Drizzle the doughnuts with Maple Glaze and let the glaze set before serving.",0.0,1,1,Generate a diabetes-friendly Maple Bacon Twists recipe.,"Ingredients: ['olive oil', 'onion', 'garlic cloves', 'fresh thyme', 'salt', 'fresh ground black pepper', 'bacon'] Instructions: heat oil in a large skillet over medium-high heat add onion , garlic , thyme , salt , pepper , and pepper saute until tender",0,1.0,1.0,0.072072072072072,0.0181268882175226,0.054054054054054,0.83297634,0.76643515,0.7983216,kaggle,has_forbidden,short,other,
