dish,prompt,generation,compliant
chocolate cake,Generate a diabetes-friendly chocolate cake recipe.,"Preheat the oven to 350 °F (177 °C) and grease a 9 x 13-inch baking pan. Grease and flour a 9 x 13-inch baking dish. Set aside. In a large bowl, whisk together the flour, baking powder, baking soda, and salt. Add the eggs one at a time, beating well after each addition. Pour the batter into the prepared baking dish. Bake at 350 °F (177 °C) for 20 minutes or until a toothpick inserted into the center comes out clean. Cool on a wire rack before cutting into squares.",0
cheesecake,Generate a diabetes-friendly cheesecake recipe.,"In a large mixing bowl combine the sugar, eggs, vanilla, and salt. Beat with an electric mixer on medium speed until soft Peaks form. Fold in the chocolate chips. Transfer to a greased 13x9x2-inch baking pan. Bake in the preheated oven at 350°F (180°C) for 30 to 40 minutes or until a toothpick inserted into the center comes out clean. Cool on a wire rack.",0
brownies,Generate a diabetes-friendly brownies recipe.,"Preheat the oven to 350°F (177°C) and line a baking sheet with parchment paper. In a large bowl, combine the flour, baking powder, baking soda, and salt. In a separate bowl, whisk together the flour, baking powder, baking soda, and salt. Fold in the chocolate chips. Bake at 350°F (177°C) for 20 minutes or until a toothpick inserted into the center comes out clean. Cool on a wire rack.",0
chocolate chip cookies,Generate a diabetes-friendly chocolate chip cookies recipe.,"Preheat the oven to 350°F (180°C) and line a baking sheet with parchment paper. In a large mixing bowl, combine the flour, baking powder, baking soda, and salt. In a separate mixing bowl, combine the flour, baking powder, baking soda, and salt. In a separate mixing bowl, combine the flour, baking powder, baking soda, and salt. In a separate mixing bowl, combine the flour, baking powder, baking soda, and salt. In a separate mixing bowl, combine the flour, baking powder, baking soda, and salt. In a separate mixing bowl, combine the wet ingredients. In a separate mixing bowl, combine the wet ingredients. In a separate mixing bowl, combine the wet ingredients. In a separate mixing bowl, combine the wet ingredients. In a separate mixing bowl, combine the wet ingredients. In a separate mixing bowl, combine the wet ingredients. In a separate mixing bowl, combine the wet ingredients. In a separate mixing bowl, combine the wet ingredients. In a separate mixing bowl, combine the wet ingredients. In a separate mixing bowl, combine the wet ingredients. In a",0
sugar cookies,Generate a diabetes-friendly sugar cookies recipe.,"Preheat the oven to 350°F (180°C) and line a baking sheet with parchment paper. In a large mixing bowl, combine the flour, baking powder, baking soda, and salt. In a separate mixing bowl, combine the flour, baking powder, baking soda, and salt. In a separate mixing bowl, combine the flour, baking powder, baking soda, and salt. In a separate mixing bowl, combine the flour, baking powder, baking soda, and salt. In a separate mixing bowl, combine the flour, baking powder, baking soda, and salt. In a separate mixing bowl, combine the wet ingredients. In a separate mixing bowl, combine the wet ingredients. In a separate mixing bowl, combine the wet ingredients. In a separate mixing bowl, combine the wet ingredients. In a separate mixing bowl, combine the wet ingredients. In a separate mixing bowl, combine the wet ingredients. In a separate mixing bowl, combine the wet ingredients. In a separate mixing bowl, combine the wet ingredients. In a separate mixing bowl, combine the wet ingredients. In a separate mixing bowl, combine the wet ingredients. In a",0
peanut butter cookies,Generate a diabetes-friendly peanut butter cookies recipe.,"Preheat the oven to 350°F (180°C) and line a baking sheet with parchment paper. In a large mixing bowl, combine the flour, baking powder, baking soda, and salt. Add the wet ingredients to the dry ingredients and mix well. Add the wet ingredients to the dry ingredients and mix well. Add the wet ingredients to the dry ingredients and mix well. Add the wet ingredients to the dry ingredients and mix well. Add the wet ingredients to the dry ingredients and mix well. Add the wet ingredients to the dry ingredients and mix well. Add the wet ingredients to the dry ingredients and mix well. Add the wet ingredients to the dry ingredients and mix well. Add the wet ingredients to the dry ingredients and mix well. Add the wet ingredients to the dry ingredients and mix well. Add the wet ingredients to the dry ingredients and mix well. Add the wet ingredients to the dry ingredients and mix well. Add the wet ingredients to the dry ingredients and mix well.",0
snickerdoodles,Generate a diabetes-friendly snickerdoodles recipe.,Snickerdoodles are a great option for diabetics.,0
oatmeal raisin cookies,Generate a diabetes-friendly oatmeal raisin cookies recipe.,"Preheat the oven to 350°F (180°C) and line a baking sheet with parchment paper. In a large mixing bowl, combine the flour, baking powder, baking soda, and salt. In a separate mixing bowl, combine the flour, baking powder, baking soda, and salt. In a separate mixing bowl, combine the flour, baking powder, baking soda, and salt. In a separate mixing bowl, combine the wet ingredients. In a separate mixing bowl, combine the wet ingredients. In a separate mixing bowl, combine the wet ingredients. In a separate mixing bowl, combine the wet ingredients. In a separate mixing bowl, combine the wet ingredients. In a separate mixing bowl, combine the wet ingredients. In a separate mixing bowl, combine the dry ingredients. In a separate mixing bowl, combine the wet ingredients. In a separate mixing bowl, combine the wet ingredients. In a separate mixing bowl, combine the wet ingredients. In a separate mixing bowl, combine the wet ingredients. In a separate mixing bowl, combine the wet ingredients. In a separate mixing bowl, combine the wet ingredients. In a separate mixing",0
cupcakes,Generate a diabetes-friendly cupcakes recipe.,"Preheat the oven to 350°F (177°C) and line a baking sheet with parchment paper. In a large bowl, mix together the flour, baking powder, baking soda, and salt. Add the wet ingredients to the dry ingredients and mix well. Add the wet ingredients to the dry ingredients and mix well. Add the wet ingredients to the dry ingredients and mix well. Add the wet ingredients to the dry ingredients and mix well. Add the wet ingredients to the dry ingredients and mix well. Add the wet ingredients to the dry ingredients and mix well. Add the wet ingredients to the dry ingredients and mix well. Add the wet ingredients to the dry ingredients and mix well. Add the wet ingredients to the dry ingredients and mix well. Add the wet ingredients to the dry ingredients and mix well. Add the wet ingredients to the dry ingredients and mix well. Add the wet ingredients to the dry ingredients and mix well.",0
muffins,Generate a diabetes-friendly muffins recipe.,"In a large mixing bowl, combine the flour, baking powder, baking soda, salt, and baking soda in a large mixing bowl. Add the wet ingredients to the dry ingredients and mix well. Add the wet ingredients to the dry ingredients and mix well. Add the wet ingredients to the dry ingredients and mix well. Add the wet ingredients to the dry ingredients and mix well.",0
