dish,prompt,generation,compliant,has_forbidden,has_required
chocolate cake,Generate a diabetes-friendly chocolate cake recipe.,"Ingredients: flour, baking powder, baking soda, salt, butter, eggs, milk, vanilla extract",0,1,0
cheesecake,Generate a diabetes-friendly cheesecake recipe.,"Ingredients: flour, baking powder, salt, sugar, eggs, milk, butter, vanilla extract",0,1,0
brownies,Generate a diabetes-friendly brownies recipe.,"Ingredients: flour, baking powder, salt, baking soda, baking soda, baking powder, baking soda, eggs",0,1,0
chocolate chip cookies,Generate a diabetes-friendly chocolate chip cookies recipe.,"Ingredients: flour, baking powder, salt, baking soda, baking soda, baking soda, eggs, vanilla extract",0,1,0
sugar cookies,Generate a diabetes-friendly sugar cookies recipe.,"Ingredients: all-purpose flour, baking powder, salt, baking soda, baking soda, baking powder, baking soda, baking soda",0,1,0
peanut butter cookies,Generate a diabetes-friendly peanut butter cookies recipe.,"Ingredients: flour, baking powder, baking soda, salt, unsalted butter, peanut butter, egg, vanilla extract",0,1,0
snickerdoodles,Generate a diabetes-friendly snickerdoodles recipe.,"Ingredients: snickerdoodles, flour, baking powder, salt, butter, eggs, milk, butter",0,0,0
oatmeal raisin cookies,Generate a diabetes-friendly oatmeal raisin cookies recipe.,"Ingredients: flour, baking powder, salt, baking soda, baking soda, baking powder, baking soda, baking soda",0,1,0
cupcakes,Generate a diabetes-friendly cupcakes recipe.,"Ingredients: flour, baking powder, baking soda, baking soda, salt, eggs, butter, vanilla extract",0,1,0
muffins,Generate a diabetes-friendly muffins recipe.,"Ingredients: flour, baking powder, baking soda, salt, butter, eggs, milk, vanilla extract",0,1,0
cinnamon rolls,Generate a diabetes-friendly cinnamon rolls recipe.,"Ingredients: flour, baking powder, baking soda, salt, cinnamon, sugar, eggs, butter",0,1,0
donuts,Generate a diabetes-friendly donuts recipe.,"Ingredients: flour, baking powder, baking soda, salt, butter, eggs, vanilla, donuts",0,1,0
danish pastry,Generate a diabetes-friendly danish pastry recipe.,"Ingredients: flour, baking powder, baking soda, salt, butter, eggs, egg yolks, butter",0,1,0
apple pie,Generate a diabetes-friendly apple pie recipe.,"Ingredients: apples, butter, sugar, flour, baking powder, baking soda, salt, cinnamon",0,1,0
pumpkin pie,Generate a diabetes-friendly pumpkin pie recipe.,"Ingredients: flour, baking powder, baking soda, salt, butter, pumpkin pie filling",0,1,0
key lime pie,Generate a diabetes-friendly key lime pie recipe.,"Ingredients: butter, sugar, eggs, vanilla extract, lime juice, lime zest, lime juice, salt",0,1,0
pecan pie,Generate a diabetes-friendly pecan pie recipe.,"Ingredients: pecans, butter, sugar, eggs, flour, baking powder, baking soda, salt",0,1,0
cherry pie,Generate a diabetes-friendly cherry pie recipe.,"Ingredients: butter, sugar, eggs, vanilla, flour, baking powder, baking soda, salt",0,1,0
tiramisu,Generate a diabetes-friendly tiramisu recipe.,"Ingredients: all-purpose flour, baking powder, baking soda, salt, nutmeg, nutmeg, cinnamon, nutmeg",0,1,0
crème brûlée,Generate a diabetes-friendly crème brûlée recipe.,"Ingredients: crème brûlée, crème de cacao, crème de cacao, crème de cacao",0,0,0
chocolate mousse,Generate a diabetes-friendly chocolate mousse recipe.,"Ingredients: butter, sugar, cocoa powder, cocoa powder, cocoa powder, baking soda, salt, vanilla",0,1,0
flan,Generate a diabetes-friendly flan recipe.,"Ingredients: flour, baking powder, salt, nutmeg, cinnamon, nutmeg, baking soda",0,1,0
panna cotta,Generate a diabetes-friendly panna cotta recipe.,"Ingredients: panna cotta, butter, sugar, eggs, milk, salt, fresh ground black pepper",0,1,0
banana bread,Generate a diabetes-friendly banana bread recipe.,"Ingredients: flour, baking powder, salt, baking soda, baking soda, baking powder, baking soda, butter",0,1,0
pound cake,Generate a diabetes-friendly pound cake recipe.,"Ingredients: flour, baking powder, baking soda, salt, butter, eggs, milk, vanilla extract",0,1,0
carrot cake,Generate a diabetes-friendly carrot cake recipe.,"Ingredients: flour, baking powder, baking soda, salt, butter, eggs, milk, carrots",0,1,0
red velvet cake,Generate a diabetes-friendly red velvet cake recipe.,"Ingredients: flour, baking powder, baking soda, salt, butter, eggs, milk, vanilla extract",0,1,0
ice cream sundae,Generate a diabetes-friendly ice cream sundae recipe.,"Ingredients: ice cream, granulated sugar, granulated sugar, vanilla extract, granulated sugar",0,1,0
milkshake,Generate a diabetes-friendly milkshake recipe.,"Ingredients: milk, ice cubes",0,0,0
banana split,Generate a diabetes-friendly banana split recipe.,"Ingredients: bananas, granulated sugar, vanilla extract, bananas, ice cubes",0,1,0
rice krispy treats,Generate a diabetes-friendly rice krispy treats recipe.,"Ingredients: brown rice, butter, sugar, eggs, milk, vanilla extract, flour, salt",0,1,1
s'mores,Generate a diabetes-friendly s'mores recipe.,"Ingredients: s'mores, marshmallows",0,1,0
fudge,Generate a diabetes-friendly fudge recipe.,"Ingredients: graham cracker crumbs, butter, sugar, vanilla extract, eggs, vanilla extract, flour, salt",0,1,0
caramel apples,Generate a diabetes-friendly caramel apples recipe.,"Ingredients: apples, butter, sugar, salt, vanilla extract",0,1,0
candy bar cake,Generate a diabetes-friendly candy bar cake recipe.,"Ingredients: flour, baking powder, baking soda, salt, sugar, eggs, butter, vanilla extract",0,1,0
pepperoni pizza,Generate a diabetes-friendly pepperoni pizza recipe.,"Ingredients: olive oil, garlic cloves, pepperoni, mozzarella cheese, mozzarella cheese, pepperoni, mozzarella cheese, parmesan cheese",0,1,1
supreme pizza,Generate a diabetes-friendly supreme pizza recipe.,"Ingredients: butter, olive oil, onion, garlic cloves, garlic cloves, salt, pepper, mozzarella cheese",1,0,1
meat lovers pizza,Generate a diabetes-friendly meat lovers pizza recipe.,"Ingredients: olive oil, onion, garlic cloves, garlic cloves, salt, pepper, mozzarella cheese, mozzarella cheese",1,0,1
Hawaiian pizza,Generate a diabetes-friendly Hawaiian pizza recipe.,"Ingredients: olive oil, onion, garlic cloves, garlic cloves, paprika, garlic powder, salt, paprika",1,0,1
spaghetti carbonara,Generate a diabetes-friendly spaghetti carbonara recipe.,"Ingredients: spaghetti, olive oil, onion, garlic cloves, garlic cloves, fresh basil, salt, pepper",0,1,1
fettuccine alfredo,Generate a diabetes-friendly fettuccine alfredo recipe.,"Ingredients: fettuccine fillets, olive oil, garlic cloves, olive oil, salt, pepper, fresh ground black pepper",0,1,1
lasagna,Generate a diabetes-friendly lasagna recipe.,"Ingredients: lasagna noodles, mozzarella cheese, mozzarella cheese, parmesan cheese, parmesan cheese, parmesan cheese, mozzarella cheese",0,1,0
baked ziti,Generate a diabetes-friendly baked ziti recipe.,"Ingredients: ziti, butter, flour, baking powder, salt, paprika, garlic powder, fresh ground black pepper",0,0,0
macaroni and cheese,Generate a diabetes-friendly macaroni and cheese recipe.,"Ingredients: macaroni, cheddar cheese, sour cream, salt, pepper",0,1,0
mac and cheese,Generate a diabetes-friendly mac and cheese recipe.,"Ingredients: mac and cheese, butter, cream of mushroom soup, cream of mushroom soup, cream of mushroom soup",0,1,0
pasta primavera with cream sauce,Generate a diabetes-friendly pasta primavera with cream sauce recipe.,"Ingredients: pasta, olive oil, garlic cloves, salt, fresh ground black pepper, fresh basil, fresh parsley, fresh parsley",0,1,1
ravioli,Generate a diabetes-friendly ravioli recipe.,"Ingredients: ravioli fillets, olive oil, garlic cloves, onion, garlic cloves, scallions, parmesan cheese",1,0,1
tortellini alfredo,Generate a diabetes-friendly tortellini alfredo recipe.,"Ingredients: tortellini, olive oil, garlic cloves, olive oil, salt, pepper, fresh ground black pepper",1,0,1
gnocchi,Generate a diabetes-friendly gnocchi recipe.,"Ingredients: gnocchi, olive oil, onion, garlic cloves, garlic cloves, salt, pepper",1,0,1
penne alla vodka,Generate a diabetes-friendly penne alla vodka recipe.,"Ingredients: penne alla vodka, vodka",0,0,0
fried chicken,Generate a diabetes-friendly fried chicken recipe.,"Ingredients: boneless skinless chicken breasts, onion, garlic cloves, garlic cloves, paprika, salt, pepper",0,0,0
chicken tenders,Generate a diabetes-friendly chicken tenders recipe.,"Ingredients: boneless skinless chicken breasts, onion, garlic cloves, salt and pepper",0,0,0
chicken nuggets,Generate a diabetes-friendly chicken nuggets recipe.,"Ingredients: boneless skinless chicken breasts, onion, garlic cloves, salt and pepper, chicken broth, sour cream, ketchup",0,0,0
fried fish,Generate a diabetes-friendly fried fish recipe.,"Ingredients: fish fillets, onion, garlic cloves, salt and pepper",0,0,0
french fries,Generate a diabetes-friendly french fries recipe.,"Ingredients: french fries, onion, garlic cloves, onion powder, salt, pepper",0,1,0
onion rings,Generate a diabetes-friendly onion rings recipe.,"Ingredients: olive oil, onion, garlic cloves, salt, pepper, garlic cloves, salt and pepper",1,0,1
mozzarella sticks,Generate a diabetes-friendly mozzarella sticks recipe.,"Ingredients: mozzarella sticks, olive oil, onion, garlic cloves, garlic cloves, salt, pepper",1,0,1
fried calamari,Generate a diabetes-friendly fried calamari recipe.,"Ingredients: calamari, olive oil, onion, garlic cloves, garlic cloves, paprika, salt, pepper",1,0,1
tempura,Generate a diabetes-friendly tempura recipe.,"Ingredients: tempura, soy sauce, soy sauce, soy sauce, soy sauce",0,1,0
fish and chips,Generate a diabetes-friendly fish and chips recipe.,"Ingredients: fish fillets, onion, garlic cloves, salt, fresh ground black pepper, sour cream, sour cream",0,0,0
corn dogs,Generate a diabetes-friendly corn dogs recipe.,"Ingredients: corn dogs, onion, garlic cloves, sour cream, sour cream, salt, pepper",0,0,0
