dish,prompt,generation
chocolate cake,Generate a diabetes-friendly chocolate cake recipe.,Bake a chocolate cake in a greased and floured bundt pan. Bake in a preheated oven at 180°C for 20 minutes or until a skewer inserted in the middle comes out clean.
banana bread,Generate a diabetes-friendly banana bread recipe.,"Banana bread is a healthy, low-carb, low-sugar, low-fat, low-calorie, low-fat, low-sugar, low-fat, low-sugar, low-fat, low-sugar, low-fat, low-sugar, low-fat, low-sugar, low-fat, low-sugar, low-fat, low-sugar, low-fat, low-sugar, low-fat, low-sugar, low-fat, low-sugar, low-fat, low-sugar, low-fat, low-sugar, low-fat, low-sugar, low-sugar, low-sugar, low-sugar, low-sugar, low-sugar, low-sugar, low-sugar, low-sugar, low-sugar, low-sugar, low-sugar, low-sugar, low-sugar, low-sugar, low-sugar, low-sugar, low-"
pancakes,Generate a diabetes-friendly pancakes recipe.,"To make these pancakes diabetic-friendly, you can use a low-sugar sweetened condensed milk. You can also use a low-sugar sweetened condensed milk. You can find low-sugar sweetened condensed milk at your local grocery store."
blueberry muffins,Generate a diabetes-friendly blueberry muffins recipe.,"To make blueberry muffins diabetic-friendly, use frozen blueberries instead of fresh. Preheat oven to 350°F (180°C) and grease muffin tins. In a large mixing bowl, combine flour, baking powder, sugar, baking soda and salt. In another large mixing bowl, combine the wet ingredients. Add the dry ingredients to the wet ingredients and mix until just combined. Pour the wet ingredients into the dry ingredients and mix until just combined. Pour the wet ingredients into the dry ingredients and mix until just combined. Pour the wet ingredients into the dry ingredients and mix until just combined. Pour the wet ingredients into the dry ingredients and mix until just combined. Pour the wet ingredients into the dry ingredients and mix until just combined. Pour the wet ingredients into the dry ingredients and mix until just combined. Pour the wet ingredients into the dry ingredients and mix until just combined. Pour the wet ingredients into the dry ingredients and mix until just combined. Pour the wet ingredients into the dry ingredients and mix until just combined. Pour the wet ingredients into the dry ingredients and mix until just combined. Pour the wet ingredients into the dry ingredients and mix until just combined. Pour the wet ingredients"
brownies,Generate a diabetes-friendly brownies recipe.,Bake in a greased and floured 8-inch square pan. Bake at 350° for 35 to 40 minutes or until a toothpick inserted in the center comes out clean. Let cool before cutting into squares.
smoothie,Generate a diabetes-friendly smoothie recipe.,"To make a diabetic-friendly smoothie, add 1 cup (240 ml) of frozen raspberries, 1 cup (240 ml) of frozen blueberries, 1 cup (240 ml) of frozen raspberries, 1 cup (240 ml) of frozen blueberries, 1 cup (240 ml) of frozen raspberries, 1 cup (240 ml) of frozen blueberries, 1 cup (240 ml) of frozen raspberries, 1 cup (240 ml) of frozen blueberries, 1 cup (240 ml) of frozen raspberries, 1 cup (240 ml) of frozen blueberries, 1 cup (240 ml) of frozen raspberries, 1 cup (240 ml) of frozen raspberries, 1 cup (240 ml) of frozen blueberries, 1 cup (240 ml) of frozen raspberries, 1 cup (240 ml) of frozen raspberries, 1 cup (240 ml) of frozen raspberries, 1 cup (240 ml) of frozen raspberries, 1 cup (240 ml) of frozen raspberries, 1 cup (240 ml) of frozen rasp"
lasagna,Generate a diabetes-friendly lasagna recipe.,"This lasagna can be made in a slow cooker, but you can use a slow cooker if you prefer. You can also use a slow cooker if you don't have a slow cooker. You can also use a slow cooker if you don't have a slow cooker. You can also use a slow cooker if you don't have a slow cooker. You can also use a slow cooker if you don't have a slow cooker. You can also use a slow cooker if you don't have a slow cooker. You can also use a slow cooker if you don't have a slow cooker. You can also use a slow cooker if you don't have a slow cooker."
chicken curry,Generate a diabetes-friendly chicken curry recipe.,"Cook the chicken in a large pot of water. Add the curry paste, turmeric, and salt. Bring to a boil, then reduce the heat to low and simmer for 30 minutes. Remove the chicken from the heat and stir in the coconut milk. Serve with rice."
oatmeal cookies,Generate a diabetes-friendly oatmeal cookies recipe.,"Oatmeal cookies are a great snack for diabetics. They're also low in sugar, so they're great for diabetics who don't want to eat a lot of sugar."
granola bars,Generate a diabetes-friendly granola bars recipe.,"Toss 1 cup rolled oats, 1 cup shredded coconut, 1 cup shredded coconut, 1 cup shredded coconut, 1 cup shredded coconut, 1 cup shredded coconut, 1 cup shredded coconut, 1 cup shredded coconut, 1 cup shredded coconut, 1 cup shredded coconut, 1 cup shredded coconut, 1 cup shredded coconut, 1 cup shredded coconut, 1 cup shredded coconut, 1 cup shredded coconut, 1 cup shredded coconut, 1 cup shredded coconut, 1 cup shredded coconut, 1 cup shredded coconut, 1 cup shredded coconut, 1 cup shredded coconut, 1 cup shredded coconut, 1 cup shredded coconut, 1 cup shredded coconut, 1 cup shredded coconut, 1 cup shredded coconut, 1 cup shredded coconut, 1 cup shredded coconut, 1 cup shredded coconut, 1 cup shredded coconut, 1 cup shredded coconut, 1 cup shredded coconut, 1 cup shredded coconut, 1 cup shredded coconut, 1 cup shredded coconut, 1 cup shredded coconut, 1 cup shredded coconut, 1 cup shredded coconut, 1 cup shredded coconut, 1 cup shredded coconut, 1 cup shredded coconut, 1 cup shredded"
