dish,prompt,generation,has_forbidden,has_required,compliant
spicy chicken with pineapple,Generate a diabetes-friendly spicy chicken with pineapple recipe.,"Cut the chicken breasts in half lengthwise. Cut the pineapple in half lengthwise. Heat the oil in a large skillet over medium-high heat. Add the chicken and cook, turning occasionally, until the chicken is no longer pink in the middle, about 5 minutes. Remove the chicken from the skillet and place it on a paper towel-lined plate. Let the chicken rest for 5 minutes before serving.",0,0,0
baked salmon with dill mustard sauce,Generate a diabetes-friendly baked salmon with dill mustard sauce recipe.,Baked salmon with dill mustard sauce is a great recipe for diabetics.,0,1,1
breast of chicken  garlic  chickpeas and sauce verdure,Generate a diabetes-friendly breast of chicken  garlic  chickpeas and sauce verdure recipe.,"Chicken breast, garlic, chickpeas, sauce verdure",0,0,0
vegetable pasta sauce,Generate a diabetes-friendly vegetable pasta sauce recipe.,"Toss 1/2 cup chopped parsley, 1/2 cup chopped parsley, 1/2 cup chopped parsley, 1/2 cup chopped parsley, 1/2 cup chopped parsley, 1/2 cup chopped parsley, 1/2 cup chopped parsley, 1/2 cup chopped parsley, 1/2 cup chopped parsley, 1/2 cup chopped parsley, 1/2 cup chopped parsley, 1/2 cup chopped parsley, 1/2 cup chopped parsley, 1/2 cup chopped parsley, 1/2 cup chopped parsley, 1/2 cup chopped parsley, 1/2 cup chopped parsley, 1/2 cup chopped parsley, 1/2 cup chopped parsley, 1/2 cup chopped parsley, 1/2 cup chopped parsley, 1/2 cup chopped parsley, 1/2 cup chopped parsley, 1/2 cup chopped parsley, 1/2 cup chopped parsley, 1/2 cup chopped parsley, 1/2 cup chopped parsley, 1/2 cup chopped parsley, 1/2 cup chopped parsley, 1/2 cup chopped parsley, 1/2 cup chopped parsley, 1/2 cup chopped parsley, 1/2 cup chopped parsley, 1/2 cup chopped parsley, 1/2 cup chopped parsley, 1/2 cup chopped parsley, 1/2 cup chopped parsley, 1/2 cup chopped parsley, 1/2 cup chopped parsley, 1/2 cup chopped parsley, 1/2 cup chopped parsley, 1/2 cup chopped parsley, 1/2",0,0,0
veggie loaf,Generate a diabetes-friendly veggie loaf recipe.,Toss all ingredients together in a large bowl. Pour into a greased loaf pan. Bake in a 350 degree oven for 40 to 45 minutes.,0,0,0
barbecued tuscan sweet potato,Generate a diabetes-friendly barbecued tuscan sweet potato recipe.,"Toss sweet potato with olive oil, balsamic vinegar, garlic, salt, and pepper. Bake in a 375 degree oven for 30 minutes.",0,1,1
dom s broiler roasted red peppers,Generate a diabetes-friendly dom s broiler roasted red peppers recipe.,"Toss red peppers with olive oil, garlic, salt and pepper. Roast in a broiler for 15 minutes.",0,1,1
asparagus strudel,Generate a diabetes-friendly asparagus strudel recipe.,"Preheat oven to 375 degrees F (190 degrees C). In a large bowl, toss asparagus with 2 tablespoons butter, 2 tablespoons kosher salt, and 2 tablespoons olive oil. Season with salt and pepper. Spread on a lightly oiled baking sheet. Bake in the oven for 20 to 25 minutes, or until lightly browned. Serve warm.",0,1,1
parmesan chicken and rice casserole,Generate a diabetes-friendly parmesan chicken and rice casserole recipe.,"Preheat oven to 350 degrees F. In a large bowl, combine the chicken broth, parmesan cheese, Parmesan cheese, Parmesan cheese, Parmesan cheese, Parmesan cheese, Parmesan cheese, Parmesan cheese, Parmesan cheese, Parmesan cheese, Parmesan cheese, Parmesan cheese, Parmesan cheese, Parmesan cheese, Parmesan cheese, Parmesan cheese, Parmesan cheese, Parmesan cheese, Parmesan cheese, Parmesan cheese, Parmesan cheese, Parmesan cheese, Parmesan cheese, Parmesan cheese, Parmesan cheese, Parmesan cheese, Parmesan cheese, Parmesan cheese, Parmesan cheese, Parmesan cheese, Parmesan cheese, Parmesan cheese, Parmesan cheese, Parmesan cheese, Parmesan cheese, Parmesan cheese, Parmesan cheese, Parmesan cheese, Parmesan cheese, Parmesan cheese, Parmesan cheese, Parmesan cheese, Parmesan cheese, Parmesan cheese, Parmesan cheese, Parmesan cheese, Parmesan cheese, Parmesan cheese, Parmes",0,0,0
yummy stuffed eggplant with meat and rice,Generate a diabetes-friendly yummy stuffed eggplant with meat and rice recipe.,This is a diabetic-friendly stuffed eggplant with meat and rice recipe. You can use any kind of eggplant. You can use any kind of meat. You can use any kind of vegetable. You can use any kind of vegetable. You can use any kind of vegetable. You can use any kind of vegetable. You can use any kind of vegetable. You can use any kind of vegetable. You can use any kind of vegetable. You can use any kind of vegetable. You can use any kind of vegetable. You can use any kind of vegetable. You can use any kind of vegetable. You can use any kind of vegetable. You can use any kind of vegetable. You can use any kind of vegetable. You can use any kind of vegetable. You can use any kind of vegetable. You can use any kind of vegetable. You can use any kind of vegetable. You can use any kind of vegetable. You can use any kind of vegetable. You can use any kind of vegetable. You can use any kind of vegetable. You can use any kind of vegetable. You can use any kind of vegetable. You can use any kind of vegetable. You can use any kind of vegetable. You can use any kind of vegetable. You can use any kind of vegetable,0,0,0
chicken salad milanese,Generate a diabetes-friendly chicken salad milanese recipe.,"Toss 1 pound romaine lettuce with 2 tablespoons olive oil, 2 tablespoons balsamic vinegar, 2 tablespoons balsamic vinegar, 2 tablespoons balsamic vinegar, 1 teaspoon kosher salt, and 1 teaspoon thyme. Toss with 1 pound romaine lettuce, 2 tablespoons olive oil, 2 tablespoons balsamic vinegar, 2 tablespoons balsamic vinegar, 1 teaspoon kosher salt, and 1 teaspoon thyme. Toss with 1 pound romaine lettuce, 2 tablespoons olive oil, 2 tablespoons balsamic vinegar, 2 tablespoons balsamic vinegar, 2 tablespoons balsamic vinegar, 1 teaspoon kosher salt, and 1 teaspoon thyme. Toss with 1 pound romaine lettuce, 2 tablespoons olive oil, 2 tablespoons balsamic vinegar, 2 tablespoons balsamic vinegar, 2 tablespoons balsamic vinegar, 1 teaspoon kosher salt, and 1 teaspoon thyme. Toss with 1 pound romaine lettuce, 2 tablespoons olive oil, 2 tablespoons balsamic vinegar",0,1,1
carrot date walnut couscous,Generate a diabetes-friendly carrot date walnut couscous recipe.,"Toss 1 cup couscous with 1 cup chopped carrots, 1 cup chopped walnuts, 1/2 cup chopped scallions, 1/2 cup chopped thyme, and 1/2 cup chopped parsley. Season with salt and pepper.",0,0,0
masala mocha  spicy,Generate a diabetes-friendly masala mocha  spicy recipe.,"Melt 1 stick butter in a saucepan over medium heat. Add 2 tablespoons ghee, 2 tablespoons saffron flakes, 2 teaspoons fenugreek seeds, 2 teaspoons cumin seeds, 2 teaspoons coriander seeds, 2 teaspoons fenugreek seeds, and 2 teaspoons nutmeg. Bring to a boil, then reduce the heat to low and simmer until the butter is melted and the fenugreek seeds are lightly browned, about 5 minutes. Remove from heat and stir in 2 tablespoons saffron flakes, 2 teaspoons fenugreek seeds, 2 teaspoons cumin seeds, 2 teaspoons coriander seeds, 2 teaspoons nutmeg, and 2 teaspoons fenugreek seeds. Stir in 2 tablespoons fenugreek seeds, 2 teaspoons fenugreek seeds, 2 teaspoons cumin seeds, and 2 teaspoons nutmeg. Serve with a dollop of saffron flakes.",0,0,0
classic one dish chicken stuffing bake with vegetables,Generate a diabetes-friendly classic one dish chicken stuffing bake with vegetables recipe.,Bake the stuffing in a 375 degree oven for 30 minutes. Serve with your favorite vegetables.,0,0,0
